ts,chain,script,iter,pass,fail,skip,duration_s
2026-05-10T15:47:07,mainnet,01-chain-basic.sh,1,0,9,0,4
2026-05-10T15:47:10,mainnet,02-reputation.sh,1,0,5,0,3
2026-05-10T15:47:14,mainnet,03-stake-validators.sh,1,0,5,0,4
2026-05-10T15:47:18,mainnet,04-agents.sh,1,0,5,0,3
2026-05-10T15:47:23,mainnet,05-names.sh,1,0,5,0,4
2026-05-10T15:47:30,mainnet,06-exchange.sh,1,0,11,0,7
2026-05-10T15:47:32,mainnet,07-grid.sh,1,0,1,1,1
2026-05-10T15:47:35,mainnet,08-htlc-swap.sh,1,0,3,1,3
2026-05-10T15:47:40,mainnet,09-oracle.sh,1,0,7,0,5
2026-05-10T15:47:44,mainnet,10-notarize-sub.sh,1,0,3,0,3
2026-05-10T15:47:45,mainnet,11-escrow-channels.sh,1,0,2,0,1
2026-05-10T15:47:47,mainnet,12-governance.sh,1,0,2,0,1
2026-05-10T15:47:56,testnet,01-chain-basic.sh,1,10,0,0,8
2026-05-10T15:48:00,testnet,02-reputation.sh,1,13,0,0,4
2026-05-10T15:48:05,testnet,03-stake-validators.sh,1,4,1,2,3
2026-05-10T15:48:09,testnet,04-agents.sh,1,5,0,0,3
2026-05-10T15:48:13,testnet,05-names.sh,1,6,0,2,4
2026-05-10T15:48:21,testnet,06-exchange.sh,1,9,0,5,7
2026-05-10T15:48:23,testnet,07-grid.sh,1,2,0,0,2
2026-05-10T15:48:26,testnet,08-htlc-swap.sh,1,3,0,1,3
2026-05-10T15:48:31,testnet,09-oracle.sh,1,7,0,0,4
2026-05-10T15:48:34,testnet,10-notarize-sub.sh,1,3,0,0,2
2026-05-10T15:48:36,testnet,11-escrow-channels.sh,1,2,0,0,2
2026-05-10T15:48:39,testnet,12-governance.sh,1,2,0,0,2
2026-05-10T15:48:46,mainnet,01-chain-basic.sh,2,0,9,0,7
2026-05-10T15:48:50,mainnet,02-reputation.sh,2,0,5,0,3
2026-05-10T15:48:53,mainnet,03-stake-validators.sh,2,0,5,0,2
2026-05-10T15:48:58,mainnet,04-agents.sh,2,0,5,0,4
2026-05-10T15:49:02,mainnet,05-names.sh,2,0,5,0,4
2026-05-10T15:49:10,mainnet,06-exchange.sh,2,0,11,0,7
2026-05-10T15:49:12,mainnet,07-grid.sh,2,0,1,1,1
2026-05-10T15:49:15,mainnet,08-htlc-swap.sh,2,0,3,1,3
2026-05-10T15:49:20,mainnet,09-oracle.sh,2,0,7,0,5
2026-05-10T15:49:23,mainnet,10-notarize-sub.sh,2,0,3,0,2
2026-05-10T15:49:25,mainnet,11-escrow-channels.sh,2,0,2,0,1
2026-05-10T15:49:27,mainnet,12-governance.sh,2,0,2,0,1
2026-05-10T15:49:35,testnet,01-chain-basic.sh,2,10,0,0,7
2026-05-10T15:49:39,testnet,02-reputation.sh,2,13,0,0,3
2026-05-10T15:49:43,testnet,03-stake-validators.sh,2,4,1,2,4
2026-05-10T15:49:47,testnet,04-agents.sh,2,5,0,0,3
2026-05-10T15:49:51,testnet,05-names.sh,2,6,0,2,3
2026-05-10T15:49:59,testnet,06-exchange.sh,2,9,0,5,7
2026-05-10T15:50:02,testnet,07-grid.sh,2,2,0,0,2
2026-05-10T15:50:06,testnet,08-htlc-swap.sh,2,3,0,1,3
2026-05-10T15:50:11,testnet,09-oracle.sh,2,7,0,0,4
2026-05-10T15:50:14,testnet,10-notarize-sub.sh,2,3,0,0,2
2026-05-10T15:50:16,testnet,11-escrow-channels.sh,2,2,0,0,1
2026-05-10T15:50:18,testnet,12-governance.sh,2,2,0,0,1
2026-05-10T15:50:25,mainnet,01-chain-basic.sh,3,10,0,0,7
2026-05-10T15:50:30,mainnet,02-reputation.sh,3,13,0,0,5
2026-05-10T15:50:44,mainnet,03-stake-validators.sh,3,0,5,0,12
2026-05-10T15:50:48,mainnet,04-agents.sh,3,0,5,0,3
2026-05-10T15:50:53,mainnet,05-names.sh,3,0,5,0,4
2026-05-10T15:51:04,mainnet,06-exchange.sh,3,0,11,0,10
2026-05-10T15:51:07,mainnet,07-grid.sh,3,0,1,1,1
2026-05-10T15:51:11,mainnet,08-htlc-swap.sh,3,0,3,1,3
2026-05-10T15:51:17,mainnet,09-oracle.sh,3,0,7,0,5
2026-05-10T15:51:20,mainnet,10-notarize-sub.sh,3,0,3,0,2
2026-05-10T15:51:23,mainnet,11-escrow-channels.sh,3,0,2,0,2
2026-05-10T15:51:26,mainnet,12-governance.sh,3,0,2,0,2
2026-05-10T15:51:33,testnet,01-chain-basic.sh,3,10,0,0,7
2026-05-10T15:51:37,testnet,02-reputation.sh,3,13,0,0,3
2026-05-10T15:51:41,testnet,03-stake-validators.sh,3,4,1,2,3
2026-05-10T15:51:45,testnet,04-agents.sh,3,5,0,0,4
2026-05-10T15:51:52,testnet,05-names.sh,3,6,0,2,6
2026-05-10T15:51:59,testnet,06-exchange.sh,3,9,0,5,6
2026-05-10T15:52:01,testnet,07-grid.sh,3,2,0,0,2
2026-05-10T15:52:04,testnet,08-htlc-swap.sh,3,3,0,1,2
2026-05-10T15:52:10,testnet,09-oracle.sh,3,7,0,0,5
2026-05-10T15:52:13,testnet,10-notarize-sub.sh,3,3,0,0,2
2026-05-10T15:52:15,testnet,11-escrow-channels.sh,3,2,0,0,2
2026-05-10T15:52:18,testnet,12-governance.sh,3,2,0,0,2
2026-05-10T15:52:25,mainnet,01-chain-basic.sh,4,10,0,0,7
2026-05-10T15:52:29,mainnet,02-reputation.sh,4,13,0,0,3
2026-05-10T15:52:33,mainnet,03-stake-validators.sh,4,4,1,2,3
2026-05-10T15:52:36,mainnet,04-agents.sh,4,5,0,0,3
2026-05-10T15:52:40,mainnet,05-names.sh,4,6,0,2,3
2026-05-10T15:52:48,mainnet,06-exchange.sh,4,9,0,5,7
2026-05-10T15:52:50,mainnet,07-grid.sh,4,2,0,0,2
2026-05-10T15:52:53,mainnet,08-htlc-swap.sh,4,3,0,1,3
2026-05-10T15:52:58,mainnet,09-oracle.sh,4,7,0,0,4
2026-05-10T15:53:02,mainnet,10-notarize-sub.sh,4,3,0,0,3
2026-05-10T15:53:04,mainnet,11-escrow-channels.sh,4,2,0,0,2
2026-05-10T15:53:06,mainnet,12-governance.sh,4,2,0,0,1
2026-05-10T15:53:13,testnet,01-chain-basic.sh,4,10,0,0,7
2026-05-10T15:53:17,testnet,02-reputation.sh,4,13,0,0,4
2026-05-10T15:53:21,testnet,03-stake-validators.sh,4,4,1,2,4
2026-05-10T15:53:25,testnet,04-agents.sh,4,5,0,0,2
2026-05-10T15:53:28,testnet,05-names.sh,4,6,0,2,3
2026-05-10T15:53:35,testnet,06-exchange.sh,4,9,0,5,6
2026-05-10T15:53:37,testnet,07-grid.sh,4,2,0,0,2
2026-05-10T15:53:40,testnet,08-htlc-swap.sh,4,3,0,1,3
2026-05-10T15:53:46,testnet,09-oracle.sh,4,7,0,0,6
2026-05-10T15:53:51,testnet,10-notarize-sub.sh,4,3,0,0,3
2026-05-10T15:53:55,testnet,11-escrow-channels.sh,4,2,0,0,3
2026-05-10T15:53:58,testnet,12-governance.sh,4,2,0,0,2
2026-05-10T15:54:11,mainnet,01-chain-basic.sh,5,10,0,0,12
2026-05-10T15:54:18,mainnet,02-reputation.sh,5,13,0,0,7
2026-05-10T15:54:28,mainnet,03-stake-validators.sh,5,4,1,2,9
2026-05-10T15:54:33,mainnet,04-agents.sh,5,5,0,0,5
2026-05-10T15:54:39,mainnet,05-names.sh,5,6,0,2,5
2026-05-10T15:54:54,mainnet,06-exchange.sh,5,9,0,5,14
2026-05-10T15:55:00,mainnet,07-grid.sh,5,2,0,0,4
2026-05-10T15:55:07,mainnet,08-htlc-swap.sh,5,3,0,1,6
2026-05-10T15:55:17,mainnet,09-oracle.sh,5,7,0,0,9
2026-05-10T15:55:23,mainnet,10-notarize-sub.sh,5,3,0,0,4
2026-05-10T15:55:27,mainnet,11-escrow-channels.sh,5,2,0,0,3
2026-05-10T15:55:30,mainnet,12-governance.sh,5,2,0,0,2
2026-05-10T15:55:41,testnet,01-chain-basic.sh,5,10,0,0,10
2026-05-10T15:55:49,testnet,02-reputation.sh,5,13,0,0,7
2026-05-10T15:55:55,testnet,03-stake-validators.sh,5,4,1,2,5
2026-05-10T15:56:00,testnet,04-agents.sh,5,5,0,0,4
2026-05-10T15:56:05,testnet,05-names.sh,5,6,0,2,5
2026-05-10T15:56:14,testnet,06-exchange.sh,5,9,0,5,8
2026-05-10T15:56:17,testnet,07-grid.sh,5,2,0,0,2
2026-05-10T15:56:21,testnet,08-htlc-swap.sh,5,3,0,1,3
2026-05-10T15:56:29,testnet,09-oracle.sh,5,7,0,0,8
2026-05-10T15:56:33,testnet,10-notarize-sub.sh,5,2,1,0,3
2026-05-10T15:56:35,testnet,11-escrow-channels.sh,5,2,0,0,2
2026-05-10T15:56:38,testnet,12-governance.sh,5,2,0,0,2
2026-05-10T15:58:56,mainnet,01-chain-basic.sh,1,10,0,0,7
2026-05-10T15:58:59,mainnet,02-reputation.sh,1,13,0,0,3
2026-05-10T15:59:06,mainnet,03-stake-validators.sh,1,4,1,2,6
2026-05-10T15:59:10,mainnet,04-agents.sh,1,5,0,0,3
2026-05-10T15:59:13,mainnet,05-names.sh,1,6,0,2,2
2026-05-10T15:59:21,mainnet,06-exchange.sh,1,9,0,5,8
2026-05-10T15:59:24,mainnet,07-grid.sh,1,2,0,0,2
2026-05-10T15:59:27,mainnet,08-htlc-swap.sh,1,3,0,1,2
2026-05-10T15:59:32,mainnet,09-oracle.sh,1,7,0,0,4
2026-05-10T15:59:36,mainnet,10-notarize-sub.sh,1,3,0,0,3
2026-05-10T15:59:39,mainnet,11-escrow-channels.sh,1,2,0,0,2
2026-05-10T15:59:40,mainnet,12-governance.sh,1,2,0,0,1
2026-05-10T15:59:48,testnet,01-chain-basic.sh,1,10,0,0,7
2026-05-10T15:59:52,testnet,02-reputation.sh,1,13,0,0,4
2026-05-10T15:59:56,testnet,03-stake-validators.sh,1,4,1,2,4
2026-05-10T16:00:00,testnet,04-agents.sh,1,5,0,0,4
2026-05-10T16:00:05,testnet,05-names.sh,1,6,0,2,4
2026-05-10T16:00:18,testnet,06-exchange.sh,1,9,0,5,12
2026-05-10T16:00:21,testnet,07-grid.sh,1,2,0,0,2
2026-05-10T16:00:24,testnet,08-htlc-swap.sh,1,3,0,1,2
2026-05-10T16:00:28,testnet,09-oracle.sh,1,7,0,0,4
2026-05-10T16:00:32,testnet,10-notarize-sub.sh,1,3,0,0,3
2026-05-10T16:00:34,testnet,11-escrow-channels.sh,1,2,0,0,2
2026-05-10T16:00:37,testnet,12-governance.sh,1,2,0,0,2
2026-05-10T16:00:46,mainnet,01-chain-basic.sh,2,10,0,0,9
2026-05-10T16:00:51,mainnet,02-reputation.sh,2,13,0,0,3
2026-05-10T16:00:55,mainnet,03-stake-validators.sh,2,4,1,2,4
2026-05-10T16:00:59,mainnet,04-agents.sh,2,5,0,0,3
2026-05-10T16:01:02,mainnet,05-names.sh,2,6,0,2,3
2026-05-10T16:01:09,mainnet,06-exchange.sh,2,9,0,5,6
2026-05-10T16:01:12,mainnet,07-grid.sh,2,2,0,0,2
2026-05-10T16:01:15,mainnet,08-htlc-swap.sh,2,3,0,1,2
2026-05-10T16:01:20,mainnet,09-oracle.sh,2,7,0,0,5
2026-05-10T16:01:23,mainnet,10-notarize-sub.sh,2,3,0,0,3
2026-05-10T16:01:25,mainnet,11-escrow-channels.sh,2,2,0,0,2
2026-05-10T16:01:27,mainnet,12-governance.sh,2,2,0,0,2
2026-05-10T16:01:34,testnet,01-chain-basic.sh,2,10,0,0,6
2026-05-10T16:01:38,testnet,02-reputation.sh,2,13,0,0,4
2026-05-10T16:01:42,testnet,03-stake-validators.sh,2,4,1,2,4
2026-05-10T16:01:46,testnet,04-agents.sh,2,5,0,0,3
2026-05-10T16:01:50,testnet,05-names.sh,2,6,0,2,3
2026-05-10T16:01:58,testnet,06-exchange.sh,2,9,0,5,7
2026-05-10T16:02:01,testnet,07-grid.sh,2,2,0,0,2
2026-05-10T16:02:04,testnet,08-htlc-swap.sh,2,3,0,1,2
2026-05-10T16:02:10,testnet,09-oracle.sh,2,7,0,0,5
2026-05-10T16:02:12,testnet,10-notarize-sub.sh,2,3,0,0,2
2026-05-10T16:02:15,testnet,11-escrow-channels.sh,2,2,0,0,2
2026-05-10T16:02:16,testnet,12-governance.sh,2,2,0,0,1
2026-05-10T16:02:23,mainnet,01-chain-basic.sh,3,10,0,0,7
2026-05-10T16:02:27,mainnet,02-reputation.sh,3,13,0,0,4
2026-05-10T16:02:31,mainnet,03-stake-validators.sh,3,4,1,2,3
2026-05-10T16:02:34,mainnet,04-agents.sh,3,5,0,0,2
2026-05-10T16:02:37,mainnet,05-names.sh,3,6,0,2,3
2026-05-10T16:02:45,mainnet,06-exchange.sh,3,9,0,5,8
2026-05-10T16:02:48,mainnet,07-grid.sh,3,2,0,0,2
2026-05-10T16:02:51,mainnet,08-htlc-swap.sh,3,3,0,1,3
2026-05-10T16:02:56,mainnet,09-oracle.sh,3,7,0,0,5
2026-05-10T16:03:00,mainnet,10-notarize-sub.sh,3,3,0,0,4
2026-05-10T16:03:03,mainnet,11-escrow-channels.sh,3,2,0,0,3
2026-05-10T16:03:05,mainnet,12-governance.sh,3,2,0,0,2
2026-05-10T16:03:12,testnet,01-chain-basic.sh,3,10,0,0,6
2026-05-10T16:03:16,testnet,02-reputation.sh,3,13,0,0,4
2026-05-10T16:03:21,testnet,03-stake-validators.sh,3,4,1,2,4
2026-05-10T16:03:24,testnet,04-agents.sh,3,5,0,0,3
2026-05-10T16:03:28,testnet,05-names.sh,3,6,0,2,3
2026-05-10T16:03:35,testnet,06-exchange.sh,3,9,0,5,6
2026-05-10T16:03:37,testnet,07-grid.sh,3,2,0,0,2
2026-05-10T16:03:40,testnet,08-htlc-swap.sh,3,3,0,1,2
2026-05-10T16:03:45,testnet,09-oracle.sh,3,7,0,0,4
2026-05-10T16:03:47,testnet,10-notarize-sub.sh,3,3,0,0,2
2026-05-10T16:03:49,testnet,11-escrow-channels.sh,3,2,0,0,2
2026-05-10T16:03:51,testnet,12-governance.sh,3,2,0,0,2
2026-05-10T16:03:58,mainnet,01-chain-basic.sh,4,10,0,0,6
2026-05-10T16:04:01,mainnet,02-reputation.sh,4,13,0,0,3
2026-05-10T16:04:09,mainnet,03-stake-validators.sh,4,4,1,2,7
2026-05-10T16:04:12,mainnet,04-agents.sh,4,5,0,0,2
2026-05-10T16:04:15,mainnet,05-names.sh,4,6,0,2,3
2026-05-10T16:04:22,mainnet,06-exchange.sh,4,9,0,5,7
2026-05-10T16:04:24,mainnet,07-grid.sh,4,2,0,0,2
2026-05-10T16:04:27,mainnet,08-htlc-swap.sh,4,3,0,1,3
2026-05-10T16:04:32,mainnet,09-oracle.sh,4,7,0,0,5
2026-05-10T16:04:36,mainnet,10-notarize-sub.sh,4,3,0,0,4
2026-05-10T16:04:40,mainnet,11-escrow-channels.sh,4,2,0,0,3
2026-05-10T16:04:42,mainnet,12-governance.sh,4,2,0,0,1
2026-05-10T16:04:48,testnet,01-chain-basic.sh,4,10,0,0,6
2026-05-10T16:04:53,testnet,02-reputation.sh,4,13,0,0,4
2026-05-10T16:04:57,testnet,03-stake-validators.sh,4,4,1,2,3
2026-05-10T16:05:00,testnet,04-agents.sh,4,5,0,0,3
2026-05-10T16:05:04,testnet,05-names.sh,4,6,0,2,3
2026-05-10T16:05:11,testnet,06-exchange.sh,4,9,0,5,6
2026-05-10T16:05:13,testnet,07-grid.sh,4,2,0,0,2
2026-05-10T16:05:16,testnet,08-htlc-swap.sh,4,3,0,1,3
2026-05-10T16:05:21,testnet,09-oracle.sh,4,7,0,0,5
2026-05-10T16:05:24,testnet,10-notarize-sub.sh,4,3,0,0,3
2026-05-10T16:05:27,testnet,11-escrow-channels.sh,4,2,0,0,2
2026-05-10T16:05:29,testnet,12-governance.sh,4,2,0,0,1
2026-05-10T16:05:35,mainnet,01-chain-basic.sh,5,8,2,0,5
2026-05-10T16:05:38,mainnet,02-reputation.sh,5,13,0,0,3
2026-05-10T16:05:42,mainnet,03-stake-validators.sh,5,4,1,2,4
2026-05-10T16:05:45,mainnet,04-agents.sh,5,5,0,0,3
2026-05-10T16:05:50,mainnet,05-names.sh,5,6,0,2,4
2026-05-10T16:05:58,mainnet,06-exchange.sh,5,9,0,5,7
2026-05-10T16:06:00,mainnet,07-grid.sh,5,2,0,0,1
2026-05-10T16:06:03,mainnet,08-htlc-swap.sh,5,3,0,1,2
2026-05-10T16:06:07,mainnet,09-oracle.sh,5,7,0,0,4
2026-05-10T16:06:10,mainnet,10-notarize-sub.sh,5,3,0,0,3
2026-05-10T16:06:14,mainnet,11-escrow-channels.sh,5,2,0,0,2
2026-05-10T16:06:16,mainnet,12-governance.sh,5,2,0,0,1
2026-05-10T16:06:22,testnet,01-chain-basic.sh,5,10,0,0,5
2026-05-10T16:06:25,testnet,02-reputation.sh,5,13,0,0,3
2026-05-10T16:06:30,testnet,03-stake-validators.sh,5,4,1,2,4
2026-05-10T16:06:34,testnet,04-agents.sh,5,5,0,0,3
2026-05-10T16:06:37,testnet,05-names.sh,5,6,0,2,2
2026-05-10T16:06:44,testnet,06-exchange.sh,5,9,0,5,6
2026-05-10T16:06:46,testnet,07-grid.sh,5,2,0,0,2
2026-05-10T16:06:49,testnet,08-htlc-swap.sh,5,3,0,1,2
2026-05-10T16:06:55,testnet,09-oracle.sh,5,7,0,0,6
2026-05-10T16:06:58,testnet,10-notarize-sub.sh,5,3,0,0,3
2026-05-10T16:07:01,testnet,11-escrow-channels.sh,5,2,0,0,2
2026-05-10T16:07:03,testnet,12-governance.sh,5,2,0,0,2
